datetime,time_min,us_station_obs,ds_station_obs
           2020-09-29 05:44:00,5020,1.648599521,1.559268113
           2020-09-29 05:54:00,5030,1.620469368,1.540491296
           2020-09-29 06:04:00,5040,1.59,1.52
           2020-09-29 06:14:00,5050,1.561268496,1.495548982
           2020-09-29 06:24:00,5060,1.537098431,1.470590221
           2020-09-29 06:34:00,5070,1.52,1.45
           2020-09-29 06:44:00,5080,1.511141309,1.436684106
           2020-09-29 06:54:00,5090,1.506322094,1.425666339
           2020-09-29 07:04:00,5100,1.5,1.41
           2020-09-29 07:14:00,5110,1.488240342,1.38475163
           2020-09-29 07:24:00,5120,1.473539119,1.353040721
           2020-09-29 07:34:00,5130,1.46,1.32
           2020-09-29 07:44:00,5140,1.450712137,1.290605668
           2020-09-29 07:54:00,5150,1.444706614,1.269207815
           2020-09-29 08:04:00,5160,1.44,1.26
           2020-09-29 08:14:00,5170,1.434837036,1.264307178
           2020-09-29 08:24:00,5180,1.428375164,1.271979872
           2020-09-29 08:34:00,5190,1.42,1.27
           2020-09-29 08:44:00,5200,1.409939719,1.249943399
